mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.18428969383239746,0.0005872249603271484,0.038083553314208984,0.00021648406982421875,3,10,"{'max_features': 3, 'n_estimators': 10}",0.6083223249669749,0.5940803382663847,0.6012013316166798,0.007120993350295091,10
0.4436614513397217,0.0005323886871337891,0.07981681823730469,0.001802206039428711,3,25,"{'max_features': 3, 'n_estimators': 25}",0.606280193236715,0.6015767131594906,0.6039284531981028,0.0023517400386122156,9
0.8778350353240967,0.0007531642913818359,0.14458906650543213,0.00018513202667236328,3,50,"{'max_features': 3, 'n_estimators': 50}",0.6238244514106583,0.6140118968935889,0.6189181741521237,0.004906277258534708,2
1.3386595249176025,0.01373291015625,0.21279823780059814,7.355213165283203e-05,3,75,"{'max_features': 3, 'n_estimators': 75}",0.6165458937198067,0.6134185303514377,0.6149822120356222,0.0015636816841845258,4
1.7669432163238525,0.006924867630004883,0.28222131729125977,0.004565000534057617,3,100,"{'max_features': 3, 'n_estimators': 100}",0.6210526315789474,0.621031746031746,0.6210421888053468,1.0442773600682909e-05,1
0.2549489736557007,5.9723854064941406e-05,0.03725898265838623,0.0003298521041870117,5,10,"{'max_features': 5, 'n_estimators': 10}",0.5906210392902408,0.5872689938398358,0.5889450165650383,0.0016760227252025084,13
0.6407375335693359,0.02308201789855957,0.07528150081634521,0.00039017200469970703,5,25,"{'max_features': 5, 'n_estimators': 25}",0.6120157215047726,0.5975177304964538,0.6047667260006132,0.007248995504159361,8
1.222237467765808,0.02489006519317627,0.13881242275238037,0.001530289649963379,5,50,"{'max_features': 5, 'n_estimators': 50}",0.6191616766467066,0.6086683417085427,0.6139150091776246,0.005246667469081978,5
1.8717824220657349,0.017741799354553223,0.21922826766967773,0.0038094520568847656,5,75,"{'max_features': 5, 'n_estimators': 75}",0.6092413006274957,0.6105512744516894,0.6098962875395926,0.0006549869120968665,6
2.515696883201599,0.004247307777404785,0.2670813798904419,1.7762184143066406e-05,5,100,"{'max_features': 5, 'n_estimators': 100}",0.6155646576945583,0.6172307692307692,0.6163977134626637,0.0008330557681054951,3
0.32334744930267334,0.0038105249404907227,0.036237239837646484,0.0003998279571533203,7,10,"{'max_features': 7, 'n_estimators': 10}",0.585820895522388,0.5914922349763673,0.5886565652493776,0.0028356697269896203,14
0.7911872863769531,0.005626678466796875,0.07493782043457031,0.001973390579223633,7,25,"{'max_features': 7, 'n_estimators': 25}",0.5865860362836723,0.5906002265005662,0.5885931313921193,0.0020070951084469324,15
1.5649620294570923,0.0008302927017211914,0.13613295555114746,0.0008547306060791016,7,50,"{'max_features': 7, 'n_estimators': 50}",0.5963821368004523,0.6011976047904192,0.5987898707954358,0.002407733994983452,12
2.3570586442947388,0.00563204288482666,0.19815170764923096,0.0004647970199584961,7,75,"{'max_features': 7, 'n_estimators': 75}",0.5950953678474115,0.6064139941690962,0.6007546810082538,0.005659313160842394,11
3.1477631330490112,0.0006731748580932617,0.2606961727142334,0.0015256404876708984,7,100,"{'max_features': 7, 'n_estimators': 100}",0.6065205171444632,0.6118143459915611,0.6091674315680122,0.002646914423548974,7
